Cislo,Lokalita,Doplnky,Status,Vykon,Rozpocet,Celkova_cena_bez_DPH,Zdroj,Prvni_poptavka,Odeslana_nabidka,Odeslani_zadosti,Uzavreni_smlouvy_o_dilo,Datum_prvni_zalohy,Prvni_zaloha,Datum_prvni_uhrady,Zahajeni_stavby,Ukonceni_stavby,Datum_druhe_zalohy,Druha_zaloha,Datum_druhe_uhrady,Datum_revize,Zadost_o_PPP,PPP,Datum_predani,Datum_treti_zalohy,Treti_zaloha,Datum_treti_uhrady,Podani_zadosti_o_dotaci
85,Hodonín,"ET,LM",Ukonceno,4.5,230000.00,307625.00,Interni,03/01/2022,07/01/2022,28/04/2022,14/01/2022,19/01/2022, 212261.25 ,19/01/2022,07/02/2022,03/03/2022,28/02/2022, 106130.63 ,10/03/2022,10/03/2022,28/04/2022,27.05.2022,,30/05/2022, 35376.88 ,17/06/2022,25/07/2022
86,Rajhrad,WB,Pripojeni,5.4 kWh,327958.00,405968.00,Interni,04/01/2022,19/01/2022,28/01/2022,28/01/2022,28/01/2022, 254169.00 ,28/01/2022,04/03/2022,,29/08/2022, 172694.00 ,13/09/2022,29/08/2022,29/08/2022,23.02.2023,,, 40000.00 ,,
87,Brno - Židenice,,Ukonceno,5.5,295700.00,404823.00,Interni,  ,14/02/2022,23/02/2022,23/02/2022,23/02/2022, 224929.00 ,27/02/2022,18/03/2022,27/04/2022,23/05/2022, 139894.00 ,26/05/2022,27/04/2022,11/08/2022,23.11.2022,23/11/2022,, 40000.00 ,,
88,Uherské Hradiště,,Ukonceno,8.1,381000.00,467661.00,Interni,10/01/2022,13/01/2022,24/01/2022,23/01/2022,24/01/2022, 290959.00 ,25/01/2022,23/02/2022,21/04/2022,30/03/2022, 193851.00 ,31/03/2022,25/04/2022,27/05/2022,15.08.2022,,19/08/2022, 53000.00 ,19/08/2022,01/09/2022
89,Halenkovice,,Nerealizovano,7.2,326000.00,398905.00,Interni,14/01/2022,19/01/2022,,,, 275244.45 ,,,,, 137622.23 ,,,,,,, 45874.08 ,,
90,Vlčnov,,Nerealizovano,7.2,326000.00,398905.00,Interni,14/01/2022,26/01/2022,,,, 275244.45 ,,,,, 137622.23 ,,,,,,, 45874.08 ,,
91,Vlčnov,,Nerealizovano,7.2,326000.00,398905.00,Interni,14/01/2022,26/01/2022,,,, 275244.45 ,25/01/2022,,,, 137622.23 ,,,,,,, 45874.08 ,,
92,Vrchoslavice,,Ukonceno,5.4 kWh,295200.00,353465.00,Interni,19/01/2022,21/01/2022,01/02/2022,12/02/2022,11/02/2022, 224924.00 ,14/02/2022,14/02/2022,,01/07/2022, 141561.00 ,01/08/2022,08/06/2022,02/08/2022,10.10.2022,10/10/2022,11/10/2022, 40000.00 ,17/10/2022,24/11/2022
93,Mistřice,,Ukonceno,5.4,295200.00,353465.00,Interni,11/01/2022,15/01/2022,24/01/2022,04/02/2022,04/02/2022, 224924.00 ,14/02/2022,16/02/2022,,21/06/2022, 141561.00 ,27/06/2022,11/07/2022,19/07/2022,06.10.2022,06/10/2022,11/10/2022, 40000.00 ,17/10/2022,25/10/2022
94,Hustopeče,,Ukonceno,5.4,260000.00,291664.00,Interni,,01/01/2020,20/05/2021,24/02/2022,24/02/2022, 201248.16 ,25/02/2022,16/02/2022,19/04/2022,20/04/2022, 100624.08 ,26/04/2022,27/04/2022,13/06/2022,18.08.2022,,19/08/2022, 33541.36 ,19/08/2022,31/08/2022
